Library	Initial_reads_aligned	Postfiltering_reads_aligned	Duplication_rate	Naive_coverage	BPR_coverage	Background	Reads_per_Mb	Percent_WC	Mode_GC	Mode_insert_size	Strandseq_quality*
na24631_c11_w3_single_3e8_S152_	134199	121096	2.30%	0.30%	0.10%	0.00%	20	100%	48%	151	poor
na24631_c11_w31_single_3e8_S166_	148347	132802	2.30%	0.30%	0.20%	4.70%	22	47%	38%	148	good
na24631_c11_w33_single_3e8_S167_	1786415	1658848	17.40%	3.30%	1.70%	1.60%	248	45%	40%	149	poor
na24631_c11_w35_single_3e8_S168_	1403443	1277520	10.30%	2.80%	1.40%	11.00%	181	37%	42%	148	poor
na24631_c11_w37_single_3e8_S169_	3553646	3266164	24.90%	5.90%	2.90%	1.10%	403	43%	38%	157	poor
na24631_c11_w39_single_3e8_S170_	4248679	3852230	15.50%	7.90%	3.90%	8.60%	595	56%	39%	149	poor
na24631_c11_w41_single_3e8_S171_	256852	234102	4.90%	0.50%	0.30%	0.70%	39	39%	39%	151	good
na24631_c11_w43_single_3e8_S172_	5078455	4567628	23.20%	8.40%	4.20%	1.50%	629	46%	40%	148	good
na24631_c11_w45_single_3e8_S173_	5045	4496	1.00%	0.00%	0.00%	8.90%	1	25%	38%	147	empty
na24631_c11_w47_single_3e8_S174_	607125	546606	6.80%	1.20%	0.60%	0.60%	90	50%	41%	148	good
na24631_c11_w49_single_3e8_S175_	2749028	2502384	15.50%	5.10%	2.60%	0.80%	394	51%	39%	150	poor
na24631_c11_w5_single_3e8_S153_	242158	218174	2.20%	0.50%	0.30%	0.00%	36	100%	44%	149	poor
na24631_c11_w7_single_3e8_S154_	7916798	7145540	24.90%	13.00%	6.40%	30.00%	952	90%	39%	148	poor
na24631_c11_w9_single_3e8_S155_	4552474	4107232	19.70%	8.00%	4.00%	24.00%	592	90%	39%	148	poor
na24631_c12_w1_negctrl_3e8_S176_	6651	5972	5.80%	0.00%	0.00%	0.00%	1	96%	46%	149	empty
na24631_c12_w11_single_3e8_S181_	7664469	6921658	23.90%	12.70%	6.30%	0.00%	924	93%	39%	149	poor
na24631_c12_w13_single_3e8_S182_	5662259	5188800	40.80%	7.40%	3.70%	2.40%	572	48%	39%	148	poor
na24631_c12_w15_single_3e8_S183_	762884	699794	9.20%	1.50%	0.80%	2.00%	121	48%	41%	149	poor
na24631_c12_w17_single_3e8_S184_	467	400	4.00%	0.00%	0.00%	50.00%	0	30%	56%	147	empty
na24631_c12_w19_single_3e8_S185_	10017412	9063910	32.00%	14.90%	7.20%	0.00%	1064	100%	39%	153	poor
na24631_c12_w21_single_3e8_S186_	3170621	2926162	20.90%	5.60%	2.80%	1.60%	386	50%	40%	150	poor
na24631_c12_w23_single_3e8_S187_	3449281	3151670	29.70%	5.40%	2.70%	30.00%	395	96%	37%	149	poor
na24631_c12_w25_single_3e8_S188_	155580	140798	2.30%	0.30%	0.20%	7.90%	23	39%	41%	150	poor
na24631_c12_w27_single_3e8_S189_	3805254	3431154	15.10%	7.00%	3.50%	20.00%	513	96%	40%	149	poor
na24631_c12_w29_single_3e8_S190_	773801	707430	7.50%	1.60%	0.80%	5.50%	113	52%	39%	149	poor
na24631_c12_w3_single_3e8_S177_	302734	276686	3.00%	0.60%	0.30%	0.00%	45	100%	37%	154	poor
na24631_c12_w31_single_3e8_S191_	11833880	10871212	45.40%	14.30%	7.10%	0.60%	1110	48%	40%	150	poor
na24631_c12_w33_single_3e8_S192_	3831919	3535696	30.90%	5.90%	2.90%	0.40%	407	36%	38%	165	good
na24631_c12_w35_single_3e8_S193_	4519770	4088854	19.90%	7.90%	3.90%	0.90%	581	44%	40%	148	good
na24631_c12_w37_single_3e8_S194_	6895924	6194062	24.80%	11.30%	5.60%	27.30%	786	93%	49%	148	poor
na24631_c12_w39_single_3e8_S195_	22133	19798	1.60%	0.00%	0.00%	4.30%	3	29%	37%	148	poor
na24631_c12_w41_single_3e8_S196_	931287	845012	7.00%	1.90%	1.00%	0.00%	140	100%	39%	148	poor
na24631_c12_w43_single_3e8_S197_	4873360	4434674	18.90%	8.70%	4.30%	0.00%	641	100%	39%	151	poor
na24631_c12_w45_single_3e8_S198_	3397335	3127908	19.50%	6.10%	3.00%	0.00%	451	100%	39%	152	poor
na24631_c12_w47_single_3e8_S199_	356	306	2.00%	0.00%	0.00%	50.00%	0	17%	40%	159	empty
na24631_c12_w49_single_3e8_S200_	194499	176008	2.30%	0.40%	0.20%	0.00%	30	100%	38%	150	poor
na24631_c12_w5_single_3e8_S178_	486203	435446	2.50%	1.00%	0.50%	4.50%	74	47%	41%	147	good
na24631_c12_w7_single_3e8_S179_	1402893	1251122	7.60%	2.80%	1.40%	7.00%	199	50%	38%	152	poor
na24631_c12_w9_single_3e8_S180_	1711571	1564734	11.70%	3.30%	1.70%	0.00%	247	100%	38%	151	poor
na24631_c15_w1_single_3e1_S301_	956	858	1.60%	0.00%	0.00%	13.20%	0	17%	35%	145	empty
na24631_c15_w15_single_3e1_S305_	387	348	1.10%	0.00%	0.00%	0.00%	0	23%	38%	147	empty
na24631_c15_w17_single_3e1_S306_	5567325	5013418	22.10%	9.40%	4.70%	1.10%	701	49%	40%	148	good
na24631_c15_w19_single_3e1_S307_	2693	2304	43.80%	0.00%	0.00%	0.00%	0	78%	38%	152	empty
na24631_c15_w21_single_3e1_S308_	6897984	6184156	23.40%	11.40%	5.70%	0.00%	853	96%	40%	148	poor
na24631_c15_w29_single_3e1_S309_	194	182	1.10%	0.00%	0.00%	40.00%	0	17%	30%	158	empty
na24631_c15_w3_single_3e1_S302_	8244	7490	1.00%	0.00%	0.00%	0.00%	1	100%	38%	149	empty
na24631_c15_w31_single_3e1_S310_	1031	922	1.50%	0.00%	0.00%	33.30%	0	58%	35%	145	empty
na24631_c15_w33_single_3e1_S311_	3198573	2936290	16.60%	5.90%	2.90%	0.00%	403	100%	37%	152	poor
na24631_c15_w35_single_3e1_S312_	4473646	4048712	19.40%	7.90%	3.90%	1.00%	596	47%	39%	150	poor
na24631_c15_w43_single_3e1_S313_	130	118	1.70%	0.00%	0.00%	50.00%	0	11%	38%	170	empty
na24631_c15_w45_single_3e1_S314_	3069183	2766894	12.90%	5.80%	2.90%	0.00%	434	100%	39%	148	poor
na24631_c15_w47_single_3e1_S315_	2718149	2479888	11.30%	5.30%	2.70%	0.00%	398	100%	38%	153	poor
na24631_c15_w49_single_3e1_S316_	3527543	3239570	16.90%	6.50%	3.30%	0.00%	479	100%	37%	152	poor
na24631_c15_w5_single_3e1_S303_	4282880	3896126	26.00%	7.00%	3.50%	2.20%	471	31%	38%	152	poor
na24631_c15_w7_single_3e1_S304_	7211906	6518372	24.40%	11.90%	5.90%	0.00%	891	96%	39%	148	poor
Undetermined_S0_	14767184	12093204	2.10%	28.40%	13.60%	40.80%	2108	90%	40%	148	poor
